sports,body_spo
1408,'????????????????????? ????? ???????????????? ?????? ???????? ???????????? ????????????? 10.5 ???????????????? ??? 325 ??????? ??????????? ??? ????? ?????????? ?????????????? ???? ?????????????? ????????? 2 ???????????????? 21 ?.?. ????????? ?????????? ?????? ???????? ?????????????? ???????????????????? 8 ???????????? 63 ????????????????? 11 ???????????? 131 ????????????????????????????? ????? ????? ??? ????? ????????????? ??? ?????? ??? ???????? ????????????? 2 ???????????????? 10 ???????????? 132 ????????????????? ?????? ?????? ????? ???????? ??? ?????? ????????? ?????????? ???????? 9 ???????????? 133 ??????? 4 ???? ???????? 2 ????? ???? ???? ?????????? ??? 1 ????????????????????????????????? ????????????????????????????? ??????????? 2 ???????????? 69 ???????? 8 ???????????? 134 ?????????????????? 6 ???????? 3 ????? ??????????????????????? ? ?????????? ????? ?????? ???????? 3 ???????????? 139 ?????? 11 ???? ??? ????? ??????? 1 ???????????? 141 ?????? 22 ???? ???? ?????? ????????????? ????????? 142 ?????? 28 ???? ?????? ??????? ???????? ???????????? ?????? 2 ??????? 2 ??????????? 73 ???????? 4 ??????????? 146 ?????????? 54 ????  ?????????  AFP'
1409,'????????????????????? ????? ?????? ??????? ???? ?????? ???????????????? 3 ???????????????? ??? 90 ??????? ????????????? ???????? ?????? ???? ????????? ?????? ????????????????? ????????? 2 ?????????? ???? ???????? ????????????????????????? ??????????????????? 2 ??????? 10 ???????????? 134 ??????? ??? ??????? ????????????????? ?????????? ?????? ?????????????? ??? ??????? ???????? ??????????? ??????????????????????? ????? ??? ??????? ????????????????????? 5 ???????????? 9 ???????????? 135 ?????????????? ???? ???????? ?????? ??????????? ?????????????? ??????????? 3 ???????????? 69 ???????? 7 ???????????? 137 ?????????? 10 ???? ?????????  AFP'
1410,'???? ??????? ???????????? ?????? ????????? ??????????????????????? ?????? ???????????? ????? ????????????????????????????????????????????????????????? 4 ???????????????????????????????????????? ??????????? ??? ?????????? ?????????? ??????????? ?????????????????????? 5 ??????????????? ?????????? ????????? ? ????????? ??????? ???????? ??????? ?????? ??????????? ???????? ????????? ???????? ????????? ????????????? ???????????? ???? ??????????? ??????????? ???????????????????????????????? ?????????????????????? ????? ??????????????????????????????????????? ???????????????????????????? ? ??????? ????? ????????????????????????????? 4 ???????????????? ???????? ?????????? 3 ????????????????????????????????????????  Getty Images'
1411,'???????? ??????????? ????????????? ??????? ???????? ?????? ???????????????????????????????? ??????? ???????????????????????????????????????? ??????????? ???????? ??????????????????????? ?????? ??????????? ?.?. 2012 ?????????????????????????? ????????? ?????????? ????????????????????? ????? ??????? ?????????? ???????????? ????? ?????????? ??????????????????????????????????????? ??????????? 30 ???????????????????????????????????????????? ?????????? ????????????? 2 ???????? ????????? 31 ?? ???????????? 2 ???????????? ??????? ????????????? ???????????? 32 ?????????????????????????????????? ???????? ?????????????? ????? ??????? ?????????? ???????? ?????????? ??? 2 ?? ????????????????????????????????????? ??????????? ???????? ???????????? ????? ?????????? ????????????????? ??????????? ???????? ??? ????????? ?????????? ?????? ????????????????????????????????????? ???????? ????? ??????? ?????????? ???????? ?????????????????????????????????????? ??????????????????????????????????????????????????????? ????????????????????????????????? ??????????  AP'
1412,'???????? ?????? ???????????????????? ???????? ????????????????????????????? ???????????? 2020 ??? ??????????? ????????????? ?????????????????????? ???????? ????????? ???????????????? ?????????????????? ??????????????????? ?????????????????????????????????? ?????????????????? ????????????????????????????????? ?????????????????????????????????????? ????????????????????? ??????????????????? ????? 25 ????? ???????????????????????????16 ??????????????? ???????????????? ???????????????????????? ??????????????????? ???????????????????? ???????????????? ????????????????????????? ???????? ??????????? ????????? ?????????????????? Go Green & Clean ????????  ?????????????????????????? ?????????????????????????????? ?????? ????? ???? 01 ?????????? 2 ??????22 ?.?. ???? 19.00 ?. ?? ?????? ????? ??????????????????? fb.Buriram United'
1413,'?????? ???.??????????????????????? ????? 8  ??? ????????? ????????? ?????????????? ???????? 5 ?????????????????????????????????????? ??? ??.?.?.???? ?????????????? ?????????? ???????? ??.?.?.?????? ???????????? ?????????? ????????? ??????????? ?????????? ???????????????? ?????????????? ???????????????????????????? ??????????? 21 ?.?. ???????????????????? ????????????????????????????????????????????????????? ?????????????????????????? ????????????????????????????????????????? ?????????????? 2559 ??????????????????????????????????????? ?????????????????????????????????????????????????????????????????????????????????????? ??????????? ????????????????? ???????????????? ?????????????????????????? ???????????????????? ?.4922563 ????????????? ?????????????? ??????????????????????? 5 ?????????????????????????? ???????? ???????????????????????????????? ??????????????????????????? 5 ???????????????????????????????? ??????????????? ?????? ?????????????????? ?????????? ????????????????????????????????????????????????????? ????????????? 3 ?????? ?????????????? ???????????????????????? ?????????????'
1414,'???????????? ???????? ?????????????? ???????????????? 21 ?.?. ????????? ?????????????????????????????????????????? ??? ???????? ???????? ?????????????????????? ?????????? ????????? ?????? ?????? ?????????? 117105 ????? ?????????????? ?????? ????? ??? ??????? ????? 2 ?????????????????? 32 ??? 28 ???????????? ??????????????????????????? 42 ??? 12 ?????????????????????? ???????? ????????????? 1 ????????????? ?????? ?????????? ??? 28 ??? 28 ??????? 3 ?????????????????? ???????? ????????????? 8 ????????????? ????????? ???????????????????? ????????? ??????????? ??? ???????? ????????? 113108 ?????? ?????????? ??? ????????? ????? 122106 ??????? ????? ??? ??????? ????????? 101118 ????????? ???????? ??? ???????? ????? 10698 ???????? ????????? ??? ????????? ???? ???????? 101113 ?????? ???????? ??? ????????? ??????????????? 127117 ??? ????????? ??????? ??? ?????? ?????? 113104 ???????????? ????????? ??? ?????????? ???? ????????? 128115.?????????  REUTERS'
1415,'???? ????????? ????????????????????? ????????? ??????????? ???? ???????????????????????????? ??????????????????????????????????????????????????? ????? ???????????????????????????????????????? 2 ????????????????????????? ??????????????????????????? ???? ?????????? ???? ????? ????????????????? ????????????????????????? 20000 ????? ??? 812000 ??? ?????????????????????????????? ????????????? ??????????? ????????????? ????? ?????? ??????????????????????????????????????????????????????????????????????????????? ?????????????? ??????? 63 ?? ???????????????????????????????????????????????????????????????????????????????? ???? ???? ??????? ??????????????????????????? 2 ????? ???????? ?????? ???? ???????????????? ???????? ????? ???????? ?????????????????????? ???????? ??????????? ??????????????????? 20000 ?????????????????????????????????????????????????????????????????????????????????????????????????? ??????? ?????'
1416,'????????? ??????? ??????????????????? 2020 ????? ?????? ????????????? ?????? ??????? 24 ????????? ???????? ????? 22 ?.?.?????? ?? ?????? ??????????? ??????????????????????? ????????? ????????? ??????? ???? ??? ??????? ?????????????? ?????????? ???????????? ????? ?????? ??????????????????????????????????????? ??????????????????????????? ??????? ????? 20 ??? ?????? ?????? ??????? 13 ??????? ??????? 20 ???????? ???????????? ??????????????? ??? ?????? ??????? ???? ???????????????????????? ????????? ?????????? ??????? ??????????????? ?????? ??????? 58 ??? ??????? ?????????????? ???????? ????????? ??????? 65 ???? 40??????? ?????? ??????????? ????????? ?? 2 ???????? ??????? 68 ??????? ?????? ??????? ??????????? ??? ??????? 76 ?????? ????????????????? ?????? ?????? ????????? ???????? 24 ????????????? ????? ?????? ??????? ??? ????????? ??????? 42?????????????? ??????? ????? ???? ?????? ??????? 11 ?????? ?????? ??? ?????? ??????? 10 ???????? ???????? ???? ????? ???? 00??????? 2 ????????? ????????? ????????????????????? 22 ?.?. ???? 11.00 ?. ?????? ???????? ??? ???????? ????? ?????????? ????? ??????? ??? 12.00 ?. ???????? ??? ??????? ??? ?????? ???????? ?? ????? ?????? ???????????????? ????? ??????? ??? ??????????.?????? fb.j.league??????????????????????????????????????'
1417,'?????????????????????? ???????????????? ?????? 2020 ????????? ?????? ????? ?????????? ?????? ???????????????? ????????????? ???????????????????????? 21 ?.?.????????? ????????????? ????????????? ???? ???????? ????????? ??? ????? ?????? ??????? ?????????????????????????? 34 ???????????????? 2019 ????????????? ???????????????????????????????????????????????????????????????????????????????????? ????? ???? ????????????? ????????? ?????????? ???????? ?????????????????? ???????????????? 13 ??? 611 1412 311 911 ???????????????? ???????????????? 3.'
1418,'??????????? 22 ?.?.????? ?????? ???????????????????????????? ???????????????????? ????????????????????????????????????????? ????????????????????????????????????????? ??????????????? 2563 ???????????????????????????????? 125 ?.?. ????????????????????? ?.??????? ?.?????? ????????? 11 ???????? ?????? ????? ????? ??????? ???????? ?????? ???????????? ????????? ????? ???????????????? ??????? ???????????????? ????????????????????????????????????? ???????? ?????????????????????????? ?????????????????????????????????????????????????? ????????????????????????????????????????????????????????????????????????????????????????????????????????? ?????????????????????????????????????? ?????????????????????????????????????????????????????????????????? ????????????????????????????????? ???????????????????????????????????????????'
1419,'???????? ??????????????????? ?????? ??????????????????????? ??????????????????????????? ????? ?.????????? ??????? ??????????????????? ??????????????????????????????????????????????????????????????????? ???????????????? 4 ?????????? 9 MCOT HD. ??????????????????? TKO ???????????????? 22 ?.?. ????????????????????? ?????????????????????? ??? ??????? ???????? ?????????? ?.??????? ???? ?.???????? ??????? ???? ?????? ?? 2 ???????? ?????????????? ???????? ??????? ???????????????.'
1420,'??????????? 22 ?.?. ????????? ?????????? ?????? ????????? ??.??????? ??????? ??????????????????? ??????????????????????????????????????????????????? ?????? ??? ?????????? ??? ???????? 1 ????? 12 ??? ??????????????? ?????????? ??????????????????? ??????????????????????? ?????????????????????? ??????????????? ??????????????? ????? ????????????????? ????????????????????????? ????????????????????????????? ????????????????? 1 ?????????????????? ???????????????????? ?????????????????????????????? ????????????????? ?????? 29 ?.?.??????????????????? ??????????? 20 ??.?.63 ????????????? ?????? ???????????????????????????? ???????? ?????? ????????????????? ?? ?????????????????????? ??? 2 ???????????????????? ?? ?????????????????? ??? 3 ?????????????????????????? ?? ?????????????????????? ??? 4 ???????????? ?? ????????????????? ??? 5 ??????????????? ?? ??? ???????????? ????? ??? ??? 6 ??????????????1 ?? ????????????????'
1421,'?????????????????????? ???????????? ?????? ????? ??????? 300 ?????? ?????????? ???? ????????? 2020 ???????????????? 170000 ???????????? ?????????? 5100000 ??? ?????????????????? ?????????? ??????????? 22 ?.?.????????? ?????????????????????????????????????? 6 ?? ??? 4 ?????? ???????????????????????? ????????????????????????????????????? ??????? ???????? ????????? ??????????????? ??? 15 ?????? ?????? 3 ????????? ????? ???????? ??????? ????????? ??? 20 ???????????????????????????? 4 ????? ???????? ??? 3 ????? ???????? ??? 1 ????? ????????????????? ??????? ???????? 21 ??? 1421 2115 2112 ??????? 58 ???? ???????? ????????????????????? ??????????????????????????? ???????? ??????? ??????? ??? 53 ?????? ??? ???????? ????? ??? 8 ?????? ?????? 1 ???????????????? ?????????????????????? ???? ???????? ????????????? ?????? ??????? ?????? 12 ?????? ?????? 2 ????????? ????? ????????? ?????????????? ??????? ?????? 14 ?????? ????????? 3 ????????????????????? ?????????????? 4 ????? ???????????????????????? 2 ????? ???????????????????? ??????? ???????????? 12 ??? 1421 2116 921 ??????? 1.01 ??. ???????????????????????????'
1422,'??????????????????????? ?????? 2020 ?????? 2 ????? 22 ?.?. ????????? ???????? ???????????? ?????????? ????? ?????????? ??????????? ??????????? ????? ??? ??????? ??????????????? ?????? ??????? 29 ??? ????????????? ??????? ??????????????????? ?????? ????????? ?????????????? ?????????????? ??????????? VAR ?????????????????????? 11????????? ??????? ??????????? ??????? 49 ????? ?????????? ????????????????? ???????????????? ?????????????? ??????? ???????????? ??????????? ??????????? VAR ????????????? ???????? ????????? ?????????????????????? ????????? ??????????? ?????????? ????????? 69 ?????????????????? ????????? ????? ?????????? ????? ??????? ??? 41 ?????????????????????? ?????? ?????????? ?????? ???? 6 ???????? ???? ??????????? ??????? 1 ???? ????????????????????????????????????? ????? ???????? ???????? ?? ???????????????? ?????????? ????? ??? ????? ???????? ??????????????????????????? ????? 20 ??? ????????? ????????? ??????? 12 ??? ?????????? ?????? ??????? 15 ??????? ??????? 80 ???????? ??????????????????? ????????? ??????? ?????????????????????????? VAR ??????????????? ????????? ??????????????????????????? ?????? ?????? ??????????????????????? ???????????? ???????????????????????? 5 ??????????? ???????? ???????????????????? ???????? ???????? ???????? 22 ???????? ?? 2 ???? ???? ?????????? ??????????? 1 ???? ??? 2 ???'
1423,'??????????????? 2 ????150 ???????????? 2020 ?????? 2 ????? 22 ?.?. ?????? ???? ?.?????????????????????? ????????? ????????? ????????? ???????? ?? ?????? ?????? ???????? ???????????????????????? ?????????????????? ?????????????? ??? 30 ???????????????????????? ??? ?????????? ???? ??????? 48 ?????? ??? ???? ???? 59 ??? ???? ?????????? ??????? 63 ????? ????????? ???????? ??? 2 ???????????? ????? ????? ??? ????????? ??????? ???????? 01 ???? ??????????????????? ???????? ??? ??????? ???? ????? 01 ??????? ??? 2 ?????? ?????????????Chainat Hornbill Football Club'
1424,'????????????? ????????????? ??????? ????????????????????? ??????????????????????? ????????????????????? ??????? ????????????????????? ??? ????????????? ??????????????????????? ???????? ?????????????????????????????? ?????????????????? 22 ??????????????????????????????? ???????????????? 22 ?.?. ????????????????????? ?????????????????????? ??????? ?.?????????? ???????? ???????? ?.???????? ???? ??????????????? ??????? ???????? ???????????? ?? 3 ?????? ??????????? ???????? ??????? ??????????????'
1425,'????? ???? ???? ?????????????????????? ????? ???? ???????????????????????????????? ??????? ????????????? 10 ??????????????????????????????????? 10 ???????????????? 21 ?????????????????? ????? ???????? ?????????????? ???? ?????? ????????? 62 ????? ????? ?? 24 ???????? 25 ?????????? 17 ???? ??????? ?? 19 ????????????????.??? gettyimages'
1426,'??????????????????????? ?????? 2020 ??? 2 ????? 22 ?.?. ???????????? ????????? ???????? ???????????????? ?? ?????? ?????? ????? ???????? ????????? ??????????????? ????? ???? 01 ????????????? ??????? 40 ?????? ?????? ??????? ??????? ??????? ???????? ??????? 5 ??? ??????????????????? ??????? 33 ???????? ?????? ??????? 51 ????????? ?????????? ??????? 57 ????????? ?????? ????? 10 ?? ??????????????????? ???????? ????? ?????????????? ?????? ??????????????????????? ????????? ????????????? ?? 3 ???? ?????? ?????? ?? 3 ???????????.'
1427,'??????????????? ?????? ????????? ??????????? ?????????????????????? ????? ??????????????????????????????????? 4 ??? ???????????? ????????? ?????? ????? ?????? ????????? ???????? 21 ????????????????? 20 ??? ?????????? ?????? ??????? 15 ?????????? ????? ??????? 48 ????????????????????????????????? 12 ????????????????????????????? ????????? ?????????? ??????? 89 ????? ?????????? ?? 44 ???????? 27 ????????????? 4 ???? ??????????? ?? 40 ??????????????? 5.??? gettyimages'
1428,'????????????????????????????? 2020 ??????????? ?????? ?????? 22 ?.?. ?????????????????? ?????? ???????? ?????????? ????? ????????? 21 ????????? ????????? ???????? ?????? 43 ?????? ????????? ???????? 45 ???????? ????????????????????? ???????? ????? ?????????? ????????? 21 ????????? ??? ???????? 40????????????????????? ??????????????? ??? ?????????? ???????? 10 ????????? ??? ???? ???????? 10 ???????????????? ??? ???? ???????? 23 ???????? ???????? ??? ???????? 27????????????????? ??????? ?????? ?????????? ??????????? ????? 01 ?.?????? ??? ?.?????????? 21 ???????? ?????? ????????? ????????? 46 ?????? ??? ?????? ?.?????????? 01??????????? ???????? ??? ?????????????? 20 ?????????????? ?????????? ???????? 13 ???????? ????????????????????? ?????????? ????????? ???????? 54 ??????? ??? ??????? 31 ?????????? ????? ??? ??????? 03?????????? ??????????? ??? ??????????? 50 ?????? ??????? ??????? ?????????????? ?? 1 ????? ????????? ??????? 50 ???????????????????????????????? ????????????????????????????? ??????? ????????? ???????? ????????? 64?????? ???? ??? ?????? 02 ?????? ???????? ??? ???????????? ????? 20 ????? ??? ?????? 20 ??????? ????????? ???????????? ????? 65 ??????? ????????? ?????? 43??????MuangKan United'
1429,'???????????????? 2020 ??? 2 ????? 22 ?.?. ???????????????? ?????????????????? ???????? ???? ?????? ????? ???? ?????????? ???? ???? ???????? 00 ??????? ?????? ???? ????????? ??????????????? ??????????????? ?????????????????????? ??????????????????????? ?????? ?? 1 ???? ??? ???? ?? 4 ???? ????????????? ?????????? ?????????? 6 ???? ?????????? ??????????? ????? 41'
1430,'????????????? ??????? ?????????????????????? ????????? ?????????? ??????????????? ???????????????? ????????? ?????? ??????? 20 ??????? ?????? ??????? ??????????????????????? ??? ?????????? ??????????? ??? ??????? ?????? ??????? 52 ??????????? ??????? ??????? 66 ????? ?????????? ?? 45 ???????? 23 ????????????? 2 ???? ?????? ?? 17 ????????????????????????? ??????? ???? ?????????? 11 ????????? ??? ??????????? 02 ?????? ??? ???????? 05.??? gettyimages'
1431,'??????????????? ?????? ?????????????????????? ???????? ???????? ???????????????? ???????? ????? ??? ????????? ??????????????????????????????? 10 ??? ?????? ???????? ??????? 26 ???????????????????????????????????????? 11 ????????????????? ??? ?????? ??????? 30 ???????????????? ?????? ??????? ?????????????????????????????????? ???? ???????? ???? ???????? 11 ?? 40 ???????? 27 ?????????? ?????? ????????? ????????? 5 ????????????????????????????????????????? 6 ?????????? ???? ?????? ?? 28 ??????????????? 15????????? ?????????? ??? ???????? 30 ??????? ????? ??? ?????????? 10 ??????????? ??? ?????? ????? 20.??? gettyimages'
1432,'????? ???? ???? ?????????????????????? ?????????? ????????? ??????????? ??????????? ????? ?? ?????? ???????? ??????? 50 ????????????????????????? ??????? ????? ??????????????? ??????? 4 ???????????? 14 37 40 ???87 ???????????????????????? ?????? ????????????????????? 89 ????? ??????????? ?? 55 ???????? 25 ?????? ??? ?????? ?????????????????? ?????????????? 1 ??? ???? ???????? ?? 24 ???????? 24 ?????????? 17????????? ????????? ??? ????????? 30 ????? ??? ??????? 10.??? gettyimages'
1433,'???????? ?????? ?? ?????? ?????????????????????? ???????? ????????? ??????????????????????????? ???? ????????????? 21 ?????????????????????????????? ??? ?????????? ????????? 20 ??? ?????????? ??????? ??????? 39 ???????? ??????? ??????? 60 ????????????????????????????????? 12 ???????????? ???????? ?????? ??????? 70 ???????????????????? ???? ?? 60 ???????? 25 ??????????????? ?????? ???? ?? 15 ???????????????????????????? ??????? ???? ???????? 11.??? gettyimages'
1434,'?????? ???????? ???????????? ????? ??????????????????????????? ???????? ???????????????????????????????????????? ?????? ?? ????? ???????? ?????? ????????? ??????????????????????????????? ?????? ???????????? ??????? ?????????? ???????????????????? ???????????? ?????? ????????? ??????????? ???????????????? ?????? ????????????????????????????????? ???????? ??????????????? ???????? ?????? ? ???????? ????? ??? ???? ???????? ?????? 02 ??????????????????????? ???????????? ?????? ????????? ?????????? ????? ????????????????????????????????????? ????? ???????? ????????????????????????????????????????????????????? ????? ???? ????????????????????????? ???????? ???????? ???? ?????? ???????? ?? ????? ?????????????????????????????????????????????????? ????????????????????????????? ?????????????????????? ??????????????????????????????? ????????????????????????????? ???????????????????? ???????????????????????????????????????????????????????????????????????????????????????? ??????????????????????????????????????????????????????????????????? ???????????????? ??????????????????????? ??????????????????????????????????????????? ???????? ???????? gettyimages'
1435,'????????????? ??????? ?????????????????????? ?????? ??????? ??????????? ??????????? ????? 04 ????????????? 50 ??? ????????? ?????????? ?????????????????????????????????? ?????????????????????? ??????? ?????????? ??????? 1 ???? ????????? ??????? 61 ??????? ?????????????? ??????? 67 ?????????? ??????? 80 ???????? ??????????? ??????? 89 ????? ??????? ?? 48 ???????? 23 ????????????? 2 ???? ?????????????? ?? 36 ???????????? 6.??? gettyimages'
1436,'??????????????? ?????? ???????????? ?????????????????????? ??????????? ???? ????????? ????????????? ??????????????? ???????? ???? ????????? ??? ???????? ????????? 10 ????????? ??????????? ??????????????????????????? ????????????????????????????????? 62 ?????????????? ??? ???????? ?????? ?????????????????? ???????? ??????? ?????????????????????????????? ?????????????? 80 ??????????? ??????????????????? ???????? ????? ???????????????????? ??? ??? ??????????????????? ???????????????????? ???? ???? ?? 57 ???????? 27 ????????????? 2 ???? ??????????? ?? 50 ???????????? 3.??? gettyimages'
1437,'???? ??????? ???????????? ?????? ????????? ????????????????????????????????????????????????????????????????????????????????????????? ???????????? ?????? ?????? ??????????? ???????? ????? ????????????????? 12 ????????????????????????????? ???????????????????? 2 ?????????????????? ?????? ??? ????? ??? ??? ?????????? ???? ??????? ???????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????? ? ????????????????????????????????? ????????????????????????????? ? ??????????????????????????? ? ??????????????????????? ????????????????????????????????? ???????????????????????????????????????????????????????????? ? ????????? ???????????????????????? ?????????????????????? ?????????????????????????????????? 2 ????? ??????????? ??????????????????????????????????????????????????????????????????????????????????? ??????????????????????????????????? ??????? ?????.??? gettyimages'
1438,'????????? ????????????? ????? ?????? ???? ????? ??? ?????? ?????????????? ?????????? ?????????????????????????? ?????????????????????? ?????????????????? ????????????? ?????? ????? ???????????? 1 ???????????????????? ?????????????? ??????????????? ?????? ???????? ???????????? ?????????????? 21 ??? 36 63 76 75 ?????????????????????????????? 2 ??????????.??? gettyimages'
1439,'????????? ?????? ?????? ????? ?????? ?????? 13 ???????????????? ?????????????? ?????????????????????? ????????????????? ????????????? ???????? ???????? ??? 2 ???????????????? ???????????????? ????????????? ?????? ???????????? ????? 2 ?????? 75 63 ????????????????????????????????????????????? 2 ????????????????????????? ???????? ?????????????????? ??????? ?????????????????? ??? 7 ????????? ????????? ????? ???? ??????????? ????? 2 ?????? 75 76 72 ?????.??? gettyimages'
1440,'???????? ?????? ?? ?????? ?????????????????????? ??????????? ???????????????? ???? ????? ???????????? 2 ?????????????????????????? 00 ????????? ????? ??????????? ????????????????? 10 ??? ????? ????? ??????? 56 ?????????????? 62 ????????????? 10 ??????????????????? ??????? ???????????????? 10 ?? ??????????? ?????????????????????????? 11 ???????????? ????? ??????? ??????? 85 ?????? ??????????????????????????????????? ?????????? ??????? ??????????? 11 ?? 36 ???????? 25 ?????????? 7 ???? ?????????? ?? 29 ???????????? 13.??? gettyimages'
1441,'????? ???? ???? ?????????????????????? ??? ?????? ?????????????????? ?????? ?? ????????? ??? ??????? ?????????? ?????? ??????? ????? ?????????????????????????????? 10 ?????????????? ???? ?????? ??????? ??????? 79 ????? ??????????? ?? 53 ???????? 25 ?????????????????? 2 ???? ??????????? ?? 32 ???????????? 10.??? gettyimages'
1442,'??????? ?????????? ????????? ??????????? ???????? ???? ?????????????????????? ?????????? ?????????????????????????????????????????????????????? ??????????????????????? ????????????????? ???????? ???????? ?????? ??????????? ??????????? ???? 01 ????????????????? ?????????????????????????????????????????????????????????? ????????? ????????????????? ???? ??????? ?????? ?????????? ??? ????? ???????? ???????????????????? ????? ??? ?????? ???????????????? ???? ???? ????????????????????????????????? ?????? ???? ??? ???????? ?????? ???????????????? ??????? ?????????? ???????????????????????????????????? ??????????????????????????? ???????????????????????????????????????????????????????????????????????? ???????????????????????????????????????????????? ??????????????????? ???????????? ???????????????????? ????? ??? ?????? ?????????????????? ??????????????? ?????????? ??????????? ???? ???? ??????????????????????????????????? 4 ????????????? ???????????????????? ???????????? ???????? ???????? ????? ??? ????? ????????? ??? ???? ??????????? ??????????????????????????????? ?????????????????????????????????????????????? ????????????????????????????? ???????? ???? ???? ???????????? ??? ?????? ??? 16 ????????? ????? ??????????? ??? ?????? 26 ?.?.'
1443,'???????? ?????? ????? ???????????????? ??????????? ?????? ???????? ???????????? ????????????? 10.5 ???????????? ??? 325 ??????? ??????????? ??? ????? ?????????? ?????????????? ???? ?????????????? ????????? 3 ?????? ????? ?????????????? ?????????? 8 ???????? ???????????? 6 ???????????? 65 ???????? 15 ???????????? 198 ??????????????????? ??????? ????? ??? ????? ????????????? ??? ?????? ??? ???????? ???????? 14 ???????????? 199 ??????? 2 ?????????????????????????????? ?????? ???????? ???????? ??????????????????????????? ??????????????????? 71 ???????????????? 11 ???????????? 202 ????????????? 4 ??????? ???? ?????????? ??? 1 ???????????????????? ???????????????? 3 ???????????? 68 ??? ??? ????? ??????? ?????????????????????? 10 ???????????? 61 ??????????????????? ???????? ???????? ???????????? ??????????????????????????? ?? 1 ???????????? 3 ????? ????????? 2 ??????????? 73 ???????? 6 ??????????? 219 ????????? 60 ????.'
1444,'???????? ????? ???????????????????? ??????????? ??? ?????? ????????? ????? ?????? ?????????????????????????????????? ???? ???? ?????????? ??????????? ??? ??? 16 ??? ?????? ?????? 26 ?.?. ??? ????????????????????????????????????????????????????????? ??????????? ??????? 10 ??????? ???? ?????????? ???????????????????.?. ????????? ????????????????????????????????????????????????????? ????? ???? 22 ????????????????????????????????????????????? 67 ??????? ????? ????????? ??????????????????? ??????????????????? ????????????????????????????????? ?????????????????????????????????? 15 ??? ??????????????????????????????????????????????? ???????????????? ?????? 2 ???????????? ?????????????????????? ??????????? ????????????????????????? ???????????????????????????????????????? 2 ???????????????????????????? 5 ????'
1445,'?????????????? ????? ?????? ????? ???? ?????? ???????????????? 3 ???????????? ??? 90 ??????? ????????????? ???????? ?????? ???? ????????? ?????? ????? ???? ????????? 3 ???????? ???????? ?????? 22 ?? ????????? 102 ??? ?? 3 ??????????? 4 ??????????? ??????? 8 ???????????? 64 ???????? 18 ???????????? 198 ??????????????????? ?????? ??????? ????? ???????????? ????????????? 2 ???? 1 ????? ??? ??? ??????? ???????? ??????? 3 ??????? 2 ????????? ???????? ?????? ??????????? ????????????????????? 10 ???? ???????????? ??????? 2 ???????? 2 ????? ?????????????? 72 ??? 3 ??? ???????? 7 ???????????? 209 ???????????????? 28 ????.'
1446,'??????????????? ????????? ?????? ????? ???????????????????? ?????????????????? ??? 9 ??? ????????????????????????????????????????????????? ???????????????????????? ??????????? ??? ?????????? ??????? ?????????????????????? ????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????? ??????????????????????????????? ???????????????????????????????????? ?????????????????????? ????????????????????????????????????????????????????????????? ?????? ????? ??????? ??????????????????????????????????????????????????????????????????????????????????????????? ???????????????????????????????? ????? ????????????????????????????????????????? ?????????????????????????????????????????????????????????????????? ??????????????????????????????????????????? ?????????????????????????????? ????? ????? 3016'
1447,'?????????????????????????????????????????????? ?????19???????????????????????????? ?????????????????????? ???????? ????? ??? ??????????? ??????????????????? 23 ?.?. ??????????? 3 ?????????? ???????? ??? ????????? ??? ?????? ??? ?????? ???????????????????????? ?????????????????? 2 ???????????????? ????????19 ???????????????????????????????????? ????? ???????????? ????????????????????????????????????????????????????????????????? ??? ????????? ????????????? ???????????????????????????????????????????????????????? ?????????????????????????????? ????????????? ?? ?????? ?? ??? ?????? ?? ???????????????????????????????????????????????????????????????????????????????? 31 ?? ????????????????????????????? ???????????????? ??? ??????????????? 75567 ?????? ??????????????? 2239 ?? ?????????????? ???????????????????? 1200 ??? ????????????????????????? 8 ??'
1448,'????????????????????????????? ?????????????????????????????????????? ???????? ????? ????????????????? 48 ??? 8 ????????????? ???????????????? ??????????? ???????????????? 11998 ????? ?????? ???????????? ???????? 31 ???? 17 ??????? 8 ???????? ??? ???? ?????????? 25 ???? ???? ????????? ???????????????????? 9 ??? 20 ?????? ????? ??????? 17 ???? 11 ??????? ??? ???????? ???????? 17 ?????????????????? ?????? ????????? ??? ?????? ????? 120110 ??????? ????? ??? ?????? ?????? 112104 ????????? ??????????? ??? ?????? ??? 105124 ?????? ?????????? ??? ???????? ?????? 107111 ??????? ????? ??? ????????? ????????? 11586 ?????????? ????? ??? ????? ?????????? 112103.'
1449,'???????????????????????????????2020????????????????????????????????????????????????????????????????????????????????????????31????????????????????????23?.?.???????????????????????????????????????????????????????????????????????????????????????????????????????????????47???????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????77??????????????80???????????????????????????????????????????????13???????????????????????????????????????2?????????????????????????????????????????????????????????????????????????????????'
